a,e,inc_rad
1.159924655110230015e+04,8.034394987025526014e-01,6.466550231317690356e-01
1.002205269506308105e+04,7.069622446873070620e-01,6.495090270561141299e-01
1.606644293889456640e+04,9.989780446071158115e-01,1.558198062828545782e-01
6.419279081061456964e+03,6.294981965783923439e-01,5.011297720745021972e-02
7.320877820483543474e+03,9.742943242613104626e-01,7.722328388082861927e-01
7.307766485165111590e+03,9.974553843630681316e-01,6.567112566316726241e-01
1.727925934656351819e+04,9.974286788225527056e-01,1.555867266387986669e+00
2.613874442530941451e+03,9.955611652724432048e-01,8.392714883267743398e-01
5.067810682604351314e+03,5.899860557513851855e-01,3.703039344827294133e-01
4.282693353133741766e+03,9.971512688542023550e-01,2.505200980873203975e-01
2.766692534180096482e+04,9.768895943761741751e-01,4.701823627004830808e-01
3.135044678701294106e+04,9.952307521474854646e-01,1.137237285044514046e+00
5.259869250489790829e+03,7.120766621910219474e-01,5.158556410444249396e-01
3.176413944521719532e+04,9.876307271194131321e-01,8.824698110518873762e-01
3.005794763507454991e+04,9.966752058915758772e-01,6.212743565840823656e-01
1.229841826485108686e+04,9.884506559785883884e-01,1.365239003693082376e+00
2.620905392487434801e+04,9.866286377998553236e-01,1.277081321721767582e+00
2.961105858772856664e+04,9.894642320862829799e-01,9.257513468639210208e-01
2.429957255930211977e+04,8.092408817931309173e-01,1.107949094783439170e+00
2.438122689231027107e+04,4.535206518409059528e-01,2.798058542015323651e-03
3.856249301451985048e+03,6.256265459980083765e-01,1.437285056739255662e+00
2.536839090075633794e+04,8.843510215892002035e-01,1.501613024494296011e+00
1.894866388115549853e+04,9.379688739484388638e-01,4.621558115595879035e-01
2.834792659184566674e+03,6.012697144420333650e-01,1.528487578521526280e-01
1.030398909975832248e+04,5.241638970216462301e-01,2.581975161963961929e-01
2.519512379768613755e+04,4.658997291558387710e-01,1.011652007596923974e+00
2.170320313052562778e+04,7.239129233131296193e-01,1.456960583830263944e+00
8.083859389205758816e+03,9.982356946091119898e-01,4.512958609338982296e-02
9.722172281413693781e+03,1.197126650471445064e-01,2.875644491679001380e-01
1.195442246010867530e+04,9.294201836465729727e-01,1.418980647317165555e+00
2.347105126658153677e+04,2.453815866509452270e-01,2.259168526038885308e-02
2.534788787927431713e+03,9.897604282967239486e-01,1.063008362082552338e+00
1.283028511418834387e+04,9.935136437937186482e-01,1.402285251815873934e+00
1.594926345983939427e+04,9.863108287383196560e-01,1.064604967140001524e+00
7.559004120301633520e+03,2.303088958470876912e-01,1.420808218211695895e+00
9.592091272122816008e+03,9.975186973355796294e-01,7.629088096745828551e-01
5.657695427610745355e+03,9.343079027710260442e-01,7.766043506349057379e-01
1.124322340628681741e+04,5.839538942899371587e-01,7.424078829498309551e-01
4.756503020750930773e+03,9.733447478400547581e-01,9.828967051660555398e-01
3.405205603818460077e+03,8.334856927982270403e-01,1.400746354395233650e+00
6.552508699849853656e+03,5.130993201901140610e-01,4.156443098371084277e-01
1.205474939566924513e+04,9.154111160045005358e-01,8.087486923408989670e-01
1.100383922279893704e+04,6.319462257935687388e-01,2.219646632031602729e-01
1.547883125102672057e+04,9.942299136938865800e-01,8.852960689048590126e-01
1.937274622442498003e+04,9.844377849233846289e-01,1.496533006853687287e+00
3.348037753757349492e+03,9.700702130276832591e-01,5.654532958084972361e-01
5.484363501726777940e+03,6.142806699513353452e-01,2.931321259714332883e-01
2.712432089342532709e+04,9.941942955670427517e-01,1.403632772943759655e+00
6.380461498161206691e+03,9.964847092062487643e-01,9.958785563176996147e-01
1.165742594537472723e+04,9.964807096801041597e-01,1.191788563106205290e+00
2.846726498818215259e+04,8.215430081638157578e-01,1.919297678414432773e-01
5.965683000866536531e+03,9.541030840157629367e-01,4.818483487386869824e-01
1.631797355821865676e+04,1.920690849000613598e-01,8.352518461936027094e-01
8.388682932902840548e+03,7.031153462647418140e-01,1.301346156674834997e+00
2.246901727385038612e+04,7.800514459660419231e-01,1.070924055726863333e+00
4.267219563805440885e+03,9.955268576550309056e-01,7.314356052180771561e-01
7.752727425912778017e+03,3.439839034220412151e-01,1.427935418225562136e+00
1.604321898528137353e+04,9.986772356267333839e-01,1.057842076430018707e+00
7.497382927541225399e+03,6.825710757242310356e-01,1.433421337642031279e+00
2.862090628410071076e+04,7.471921082980329532e-01,2.738164930581449275e-01
